fecha,Positividad,Likes,ReTweets,txt
2018-07-15 02:27:59,0.5708316318332163,9,5,Dos pares de zapatos q yo mismo compré
2018-07-15 02:28:46,0.32823650481604266,6,6,
2018-07-15 05:47:08,0.05077304824918991,1000,318,"Cuando habla de golpismo, ¿se refiere a los golpes que le metía a su pareja, a quien no mataba porque la quería?"
2018-07-15 06:04:46,0.422919209346033,72,38,¡Cumpliré con mi palabra! ¡Lo digo y lo hago!
2018-07-15 12:15:52,0.6995548726557407,399,84,Es por las lágrimas de los q saben que saldrán en los audios de Gorriti
2018-07-15 13:08:30,0.32823650481604266,60,34,
2018-07-15 13:08:39,0.32823650481604266,60,40,
2018-07-15 13:08:51,0.32823650481604266,61,33,
2018-07-15 13:09:15,0.32823650481604266,124,44,
2018-07-15 20:13:43,0.4919827552126304,40,13,Muyyyyyy raro!
2018-07-15 20:15:10,0.1508059952769731,87,33,Lo que siempre fue un secreto a voces se cha confirmado! Dejo de ser el perro de AG para convertirse en una más de las ratas de AG!
2018-07-15 20:17:22,0.02179860872156155,641,191,¡URGENTE! ¿Alguien puede informarme quién ha pasado de ser el perro del Sr AG a ser una más de las ratas del Sr AG?
2018-07-15 20:24:19,0.17045614784403643,1003,255,¡Solo Gorriti puede convertir un perro en una rata con un solo audio!
2018-07-15 20:24:19,0.17045614784403643,1003,255,¡Solo Gorriti puede convertir un perro en una rata con un solo audio!
2018-07-15 20:33:15,0.018141668189492866,13,11,¿Tiene Ud pruebas? Mi juicio termina en tres semanas y hasta ahora no existe una sola. No pierda la oportunidad de presentarlas!
2018-07-15 20:34:04,0.018141668189492866,15,11,¿Tiene Ud pruebas? Mi juicio termina en tres semanas y hasta ahora no existe una sola. No pierda la oportunidad de presentarlas!
2018-07-15 20:34:32,0.018141668189492866,20,11,¿Tiene Ud pruebas? Mi juicio termina en tres semanas y hasta ahora no existe una sola. No pierda la oportunidad de presentarlas!
2018-07-15 20:36:05,0.32823650481604266,13,13,
2018-07-15 22:55:59,0.004169461092109218,33,11,"Yo no me caso ni con mis parientes! Denuncias, Investigaciones limpias, acusaciones, juicios y condenas y hablamos. Mientras tanto puedo opinar libremente como lo hacen Uds!"
2018-07-15 22:59:44,0.01391212913214843,21,8,"Deberian presentarse por cualquiera de los partidos impolutos q existen o formar su propio partido y postular, sería un honor competir con uds y no con 6 candidatos fujimoristas"
2018-07-15 23:02:11,0.32823650481604266,11,5,
2018-07-15 23:06:58,0.028213147148723063,7,7,"Soy General (grado que se mantiene hasta la muerte) Nunca he desaparecido a nadie! Es Ud una difamadora al afirmar cosas sin pruebas. Ni siquiera le pido q se retracte, solo le aseguro q el Karma existe. Cambie su actitud."
2018-07-15 23:07:21,0.028213147148723063,7,7,"Soy General (grado que se mantiene hasta la muerte) Nunca he desaparecido a nadie! Es Ud una difamadora al afirmar cosas sin pruebas. Ni siquiera le pido q se retracte, solo le aseguro q el Karma existe. Cambie su actitud."
2018-07-15 23:07:55,0.028213147148723063,22,14,"Soy General (grado que se mantiene hasta la muerte) Nunca he desaparecido a nadie! Es Ud una difamadora al afirmar cosas sin pruebas. Ni siquiera le pido q se retracte, solo le aseguro q el Karma existe. Cambie su actitud."
2018-07-16 00:22:28,0.22663216512998746,43,12,Que bien me sonó ese carajo!
2018-07-16 00:34:24,0.8574893916897348,46,14,Gurú! Maestro! Acabas de revelar un gran secreto! Dime ¿estás bendecido por Gorriti?
2018-07-16 00:36:26,0.594852644053628,7,6,Haces bien!
2018-07-16 02:16:14,0.2857757783687484,90,43,Hoy día recorrimos Chosica y por supuesto las zonas de mayor riesgo que siguen esperando por décadas las obras de prevención que tanto necesitan.
2018-07-16 02:28:56,0.07213319120495111,84,42,"Esta mañana, reunión con los dirigentes de la 4ta zona delAH Nicolas de Pierola en Chosica! Seguimos logrando que renazca la esperanza en una gestión municipal honrada y eficiente!"
2018-07-16 03:00:51,0.32823650481604266,4,10,
2018-07-16 03:18:49,0.13583117415854826,79,47,Hoy también recorrí AH La Trinchera en Chosica! Haciendo q recuperen la confianza en que por fin en mi gestión se ejecutaran los trabajos de prevención que necesitan!
2018-07-16 03:52:38,0.7460987546000658,62,37,Recorriendo la quebrada Carozzio con dirigentes y vecinos! Hago hasta lo imposible por que recuperen las esperanzas! No los vamos a defraudar!
2018-07-16 03:56:27,0.03325762323350173,70,43,"Hoy en la quebrada rayito de sol en Chosica, Me comprometí a hacer realidad la ejecución de las obras de prevención que necesitan!"
2018-07-16 03:56:27,0.03325762323350173,70,43,"Hoy en la quebrada rayito de sol en Chosica, Me comprometí a hacer realidad la ejecución de las obras de prevención que necesitan!"
2018-07-16 04:02:24,0.3136860321160924,72,44,¡En la tarde realice caminata por las zonas vulnerables de Chosica con los vecinos que quisieron sumarse!
2018-07-16 04:07:36,0.24669656128150003,81,48,¡Cerramos la tarde en Chosica recorriendo la zona del mercado! Siento q he logrado q en muchos corazones renazca la esperanza en que si podemos tener una buena gestión municipal que privilegie la calidad de vida de los vecinos!
2018-07-16 04:10:21,0.29820050232288936,118,40,"Igual que el perro-rata, lanzará su video explicatorio a las 3:00 am?"
2018-07-16 04:17:09,0.42695712599092867,49,23,Se dieron cuenta que solo podían ganar a estos archicriminales si pedían la ayuda de Gorriti!
2018-07-16 04:19:12,0.07748544170066543,20,16,Y Gorriti tiene implantes en el cerebro con copias de seguridad por si acaso!
2018-07-16 15:22:49,0.541333260777616,37,19,¡VESTE!
2018-07-16 17:20:38,0.5623109904547897,425,142,"¿Qué parte no comprenden? ¡Queremos que se vayan todos! ¡Queremos refundación del Poder Judicial y que la fiscalía realice investigación sería y profesional, acusaciones y juicios rápidos!"
2018-07-16 18:13:46,0.8561367464805872,87,41,Comenzamos el día muy temprano recorriendo Pachacamac! Aquí con los dirigentes de Quebrada Retamal de AH Sol de Pachacamac! Sembrando esperanzas! Si podemos tener una gestión honesta y eficaz!
